City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,74.82,overcast clouds,-23.1203,-134.9692,People ThankYou
5,Ribeira Grande,PT,68.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
6,Tiradentes,BR,81.01,broken clouds,-21.1103,-44.1781,Hotel Serra Vista
8,East London,ZA,62.17,scattered clouds,-33.0153,27.9116,Tu Casa
15,Castro,BR,70.92,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
21,Abu Samrah,SY,67.21,clear sky,35.3029,37.1841,
22,Masvingo,ZW,80.11,broken clouds,-20.0637,30.8277,River Side Lodge
23,Eufaula,US,81.03,clear sky,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
24,Chuy,UY,62.69,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
25,Bubaque,GW,84.04,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
26,Kapoeta,SS,84.24,scattered clouds,4.7717,33.5903,Eastgate Hotel
27,Nioro,GM,80.89,broken clouds,13.35,-15.75,
28,Kavaratti,IN,80.91,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
31,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Port Alfred,ZA,61.2,clear sky,-33.5906,26.891,The Halyards Hotel
36,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Turbat,PK,75.24,clear sky,26.0023,63.044,Mubashar Quarters
40,Isangel,VU,75.74,overcast clouds,-19.55,169.2667,Tanna Lodge
41,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
44,Port Elizabeth,ZA,60.1,scattered clouds,-33.918,25.5701,39 On Nile Guest House
45,Celestun,MX,81.39,overcast clouds,20.8667,-90.4,Posada Lilia
46,Lufilufi,WS,82.18,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
49,Omboue,GA,76.06,overcast clouds,-1.5746,9.2618,Hotel Olako
51,Rawson,AR,60.55,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
52,Resistencia,AR,67.98,overcast clouds,-27.4606,-58.9839,Niyat Urban Hotel
54,Tiznit,MA,64.24,clear sky,29.5833,-9.5,
55,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
56,Gillette,US,60.24,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
65,Cape Town,ZA,60.28,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
68,Flinders,AU,62.2,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
74,Hambantota,LK,78.96,scattered clouds,6.1241,81.1185,Bungalow 63
75,Kirakira,SB,81.84,scattered clouds,-10.4544,161.9205,SanBiz Lodge
76,Hilo,US,76.24,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
78,Hithadhoo,MV,82.24,light rain,-0.6,73.0833,Scoop Guest House
79,Bilasipara,IN,70.43,clear sky,26.232,90.2347,Inspection Bunglow
81,Santa Lucia,ES,63.77,broken clouds,27.9117,-15.5407,Las Tirajanas
83,Laguna,US,67.06,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
86,Sao Joao Da Barra,BR,77.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
88,Capelinha,BR,70.03,overcast clouds,-17.6914,-42.5158,Marinho Plaza Hotel
89,Presidencia Roque Saenz Pena,AR,70.95,overcast clouds,-26.7852,-60.4388,Hotel Aconcagua
90,Brigantine,US,66.0,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
94,Thinadhoo,MV,83.12,overcast clouds,0.5333,72.9333,
95,Dingle,PH,74.98,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
96,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
98,Lompoc,US,73.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
99,Carnarvon,AU,66.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
100,Ciudad Real,ES,62.11,scattered clouds,39.0,-4.0,Hotel Pago del Vicario
101,Manokwari,ID,77.0,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
105,Atuona,PF,78.31,few clouds,-9.8,-139.0333,Villa Enata
106,Airai,TL,60.82,few clouds,-8.9266,125.4092,Juvinal Martin
107,Butaritari,KI,81.0,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
108,Namibe,AO,65.97,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
109,Saint-Philippe,RE,73.47,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
112,Chernoyerkovskaya,RU,61.3,overcast clouds,45.4331,37.7686,Chernoyerkovskaya
116,Inhambane,MZ,75.18,few clouds,-23.865,35.3833,Oceano
118,Namatanai,PG,79.43,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
123,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
125,Emerald,AU,73.54,few clouds,-23.5333,148.1667,The Irish Village
126,Bandarbeyla,SO,77.72,few clouds,9.4942,50.8122,JABIR HOTEL
127,Fortuna,US,60.85,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
130,Gat,IL,72.09,clear sky,31.61,34.7642,OlusHome
133,Ngunguru,NZ,62.17,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
135,Catemaco,MX,83.95,broken clouds,18.4167,-95.1167,Hotel Playa Cristal
137,Sibolga,ID,75.88,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
141,Nantucket,US,62.74,scattered clouds,41.2835,-70.0995,Jared Coffin House
143,Bethel,US,60.55,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
144,Guerrero Negro,MX,71.58,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
145,Ponta Do Sol,PT,70.43,scattered clouds,32.6667,-17.1,Hotel do Campo
146,Bhadrak,IN,71.55,scattered clouds,21.0633,86.5054,Hotel bluevine
149,Tres Arroyos,AR,60.22,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
150,Praya,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
155,Sunrise Manor,US,77.9,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
161,Balabac,PH,79.21,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
162,Faanui,PF,78.06,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
163,Port-Gentil,GA,77.83,scattered clouds,-0.7193,8.7815,Fengshui Residence
164,Pombas,CV,76.78,clear sky,17.1503,-25.0201,Paul Paradis
165,Latehar,IN,64.45,clear sky,23.75,84.5,Hotel Raj
168,Kindu,CD,74.21,broken clouds,-2.95,25.95,Résidence Okanda
171,Callaguip,PH,78.55,overcast clouds,18.0714,120.4867,Pangil Beach Resort
172,Tezu,IN,70.57,broken clouds,27.9167,96.1667,Circuit House
174,Vao,NC,71.82,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
175,Kathmandu,NP,64.62,mist,27.7167,85.3167,Hotel Shanker Kathmandu
176,Tuy Hoa,VN,75.96,moderate rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
177,Ternate,ID,79.86,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
178,Pokhara,NP,60.53,few clouds,28.2333,83.9833,Butterfly Lodge
179,Avarua,CK,73.45,few clouds,-21.2078,-159.775,Paradise Inn
181,Mahon,ES,64.96,scattered clouds,39.8885,4.2658,ARTIEM Capri
183,Magomeni,TZ,77.38,few clouds,-6.8,39.25,Conway Hotel
184,Indramayu,ID,81.59,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
187,Mogadishu,SO,79.45,clear sky,2.0371,45.3438,Hotel Juba
189,Padang,ID,76.53,overcast clouds,-0.9492,100.3543,Mercure Padang
193,Kasongo-Lunda,CD,71.51,light rain,-6.4667,16.8167,
195,Bang Sai,TH,80.01,overcast clouds,14.2124,100.4966,แพ สนามชัย บางไทร อยุธยา ตกปลา fishing
196,Havelock,US,77.95,scattered clouds,34.8791,-76.9013,Sherwood Motel
197,Mar Del Plata,AR,68.02,thunderstorm,-38.0023,-57.5575,Gran Hotel Mar del Plata
200,Los Llanos De Aridane,ES,66.13,broken clouds,28.6585,-17.9182,Valle Aridane
201,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,900 Boutique INN
202,Kiunga,PG,72.5,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
203,Naze,JP,68.04,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
204,Chimoio,MZ,76.86,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
206,Darab,IR,69.21,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
207,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
211,Bairiki,KI,78.8,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
213,Poum,NC,73.53,clear sky,-20.2333,164.0167,Gîte kajeon
215,Praia Da Vitoria,PT,68.25,scattered clouds,38.7333,-27.0667,Hotel Branco I
219,Victoria,HK,70.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
220,Yenagoa,NG,73.4,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
222,Nola,IT,68.56,overcast clouds,40.922,14.5329,Villa Minieri Eventi
224,Manjacaze,MZ,78.93,clear sky,-24.7117,33.8828,Hotel Gani
225,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
226,Comodoro Rivadavia,AR,64.26,scattered clouds,-45.8667,-67.5,Austral Hotel
229,Angoram,PG,72.41,broken clouds,-4.0625,144.0661,
235,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
237,Pemba,MZ,83.1,scattered clouds,-12.974,40.5178,Guesthouse Samotina
238,Altagracia De Orituco,VE,83.3,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
246,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
248,Port Macquarie,AU,63.9,few clouds,-31.4333,152.9167,Rydges Port Macquarie
254,Tura,IN,65.8,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
255,Torbay,CA,63.37,light rain,47.6666,-52.7314,Gallows Cove
256,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Punto de encuentro
258,Yulara,AU,66.04,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
259,Nabire,ID,74.93,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
261,Samarai,PG,80.01,overcast clouds,-10.6167,150.6667,Nuli Sapi
262,Sao Pedro Do Sul,BR,65.05,overcast clouds,-29.6206,-54.1789,Sítio Hotel e Eventos
263,Santa Ines,BR,84.09,overcast clouds,-3.6667,-45.38,Palace hotel
264,Posse,BR,83.61,overcast clouds,-14.0931,-46.3694,Pousada das Palmeiras
266,Axim,GH,78.37,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
267,Biak,ID,75.72,overcast clouds,-0.9131,122.8766,Penginapan Kim
268,Sao Filipe,CV,79.93,clear sky,14.8961,-24.4956,Hotel Xaguate
270,Itarema,BR,82.44,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
271,Labuan,MY,79.16,light rain,5.2767,115.2417,Tiara Labuan Hotel
273,Sur,OM,81.43,clear sky,22.5667,59.5289,Sur Plaza Hotel
275,Camabatela,AO,65.12,moderate rain,-8.1881,15.375,Pensão E Restaurantes
277,Sao Jose Da Coroa Grande,BR,80.38,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
278,Tukrah,LY,76.66,scattered clouds,32.5341,20.5791,Lagrota restaurant
279,Kavieng,PG,81.5,light rain,-2.5744,150.7967,Nusa Island Retreat
281,Altamira,BR,84.29,broken clouds,-3.2033,-52.2064,Requinte Hotel
285,Ilhabela,BR,73.15,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
286,Lagoa,PT,66.4,few clouds,39.05,-27.9833,Casa Das Faias
288,Manggar,ID,79.27,scattered clouds,-2.8833,108.2667,Guest Hotel
289,Doha,QA,82.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
290,Luau,AO,71.64,broken clouds,-10.7073,22.2247,Casa- Bernardo Cândido
291,Ishigaki,JP,76.55,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
293,Fartura,BR,82.15,broken clouds,-23.3883,-49.51,Rocha Palace Hotel
295,Banda Aceh,ID,78.85,overcast clouds,5.5577,95.3222,Sulthan Hotel International
296,Kirya,TZ,76.59,broken clouds,-3.9167,37.4833,
298,Puerto Escondido,MX,83.23,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
299,Jalu,LY,74.37,clear sky,29.0331,21.5482,صاحبة الفخامة
300,Mathbaria,BD,72.57,scattered clouds,22.2876,89.9593,Shikdar Hotel
301,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
302,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
306,Ballina,AU,71.78,few clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
309,Bandar,ID,73.22,overcast clouds,2.05,99.75,
311,Las Vegas,US,77.27,clear sky,36.175,-115.1372,Plaza Hotel & Casino
312,Machico,PT,70.88,few clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
315,Eureka,US,61.12,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
317,Ewa Beach,US,82.35,clear sky,21.3156,-158.0072,Uncle Junior Robert
318,Ambon,ID,80.47,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
319,Nelson Bay,AU,65.95,broken clouds,-32.7167,152.15,Mantra Nelson Bay
323,Bartica,GY,79.12,light rain,6.4,-58.6167,Sloth Island Nature Resort
324,Aloleng,PH,79.16,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
325,Moron,AR,72.01,scattered clouds,-34.6534,-58.6198,Hotel Morón
327,Hannibal,US,63.52,overcast clouds,39.7084,-91.3585,Country Hearth Inn Hannibal
329,Vila Franca Do Campo,PT,68.41,clear sky,37.7167,-25.4333,Pestana Bahia Praia
331,Cidreira,BR,66.2,light rain,-30.1811,-50.2056,Hotel Castelo
332,Mundo Nuevo,MX,80.82,few clouds,18.7,-95.5,
333,Grants,US,64.63,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
334,Alice Springs,AU,69.35,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
338,Ampanihy,MG,71.01,clear sky,-24.7,44.75,Angora Hotel
339,Gizo,SB,82.76,light rain,-8.103,156.8419,Imagination Island
341,Kharan,PK,62.37,clear sky,28.5833,65.4167,Dil Aram Bangla
342,Coruripe,BR,80.17,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
343,Nouadhibou,MR,68.92,clear sky,20.931,-17.0347,El Medina
346,Khandbari,NP,63.57,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
347,Neuquen,AR,73.29,clear sky,-38.9516,-68.0591,Hotel del Comahue
349,Cabra,ES,63.84,scattered clouds,37.4725,-4.4421,MS Fuente Las Piedras
350,Mareeba,AU,68.72,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
352,Port Blair,IN,79.0,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
354,Martapura,ID,77.09,few clouds,-3.4167,114.85,Montana Hotel Syariah
